ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
180,60000,1,2,2,53,-1,-1,0,5,1,2,3816,3633,3016,2889,2964,3017,3816,3633,777,34,59,89,0
181,290000,1,1,2,28,-1,0,0,-1,-2,0,136293,147913,159689,166144,182433,187667,136293,34624,36822,166144,17721,13945,0
182,110000,1,2,2,49,-2,1,0,0,1,0,63161,63160,60494,63400,79338,70337,4147,1377,6603,13519,2988,19143,0
183,310000,2,1,1,33,2,2,0,0,0,0,40508,36984,35368,35462,37454,38032,1859,1645,3377,5511,8483,8971,0
184,280000,2,1,1,45,-1,5,2,-1,1,2,31509,29916,27947,25542,24878,26308,31509,295,373,25542,1061,303,0
185,180000,1,2,1,25,2,0,5,0,2,0,39614,37747,34522,32761,31850,34907,1529,7869,1081,4621,847,6707,0
186,310000,2,2,2,35,4,-1,0,0,0,0,26949,23856,23067,19895,18905,19193,761,23856,4197,5178,991,4878,0
187,110000,2,1,2,21,-1,1,1,0,1,0,12369,12471,13158,12975,13978,14947,12369,431,167,2895,642,948,0
188,90000,2,2,1,35,2,8,3,-1,-1,-1,26547,28464,28068,26572,26130,24922,721,151,213,26572,26130,24922,0
189,80000,2,2,1,42,0,-1,2,3,-1,-1,41616,45074,40490,38100,33299,33313,2857,45074,747,586,33299,33313,0
190,140000,1,2,2,44,1,-1,-1,-1,-1,1,45079,46479,45917,44090,39725,39535,1687,46479,45917,44090,39725,1690,0
191,210000,1,2,1,35,2,5,2,0,5,-1,31165,33334,35820,33006,34508,38412,489,1245,1693,6577,1130,38412,0
192,170000,2,1,2,32,0,-1,-2,0,2,-1,82410,77231,74641,84911,87711,87310,18424,77231,1603,25402,477,87310,0
193,490000,2,2,1,36,-1,0,0,0,-1,-1,118333,113685,95650,98230,98964,98930,118333,32844,16854,7546,98964,98930,0
194,190000,2,3,2,30,-2,0,0,1,3,0,59832,61157,56946,62044,61537,73216,3301,14168,13689,1799,20,5296,0
195,90000,1,2,1,30,-2,3,-1,0,0,0,21070,21745,20513,23780,23208,22773,885,702,20513,7118,6357,5128,0
196,150000,1,2,1,31,0,1,1,0,0,0,41378,42093,37546,38755,40925,39609,12412,2085,446,4732,6757,10830,0
197,250000,2,2,1,37,3,0,-1,0,0,-1,77804,70781,69024,67522,72213,64119,2092,17565,69024,6626,4825,64119,0
198,100000,2,2,2,48,0,2,0,3,0,0,49177,46781,44958,46565,53804,47872,4778,560,4792,400,14388,7368,0
199,90000,2,3,1,47,0,2,-2,0,3,-1,24051,22168,20865,22378,22631,23555,2420,616,1276,1517,1032,23555,0
200,290000,2,2,2,32,-1,1,0,0,1,0,60213,57497,48722,49743,53733,53277,60213,1415,7192,4988,1531,14296,0
201,230000,2,3,1,27,0,3,4,-1,4,6,102727,100052,88814,85852,82233,79645,24166,2986,290,85852,3296,2033,0
202,140000,1,2,2,28,3,-1,-1,0,0,2,4085,4125,4430,4214,3771,4245,164,4125,4430,442,987,125,0
203,90000,1,3,1,21,0,0,0,-1,0,1,6449,7143,7431,8225,6925,6868,1385,1067,1640,8225,1941,1,0
204,110000,2,2,1,42,-1,0,2,0,-1,0,4610,4467,4342,4045,4076,4562,4610,267,138,550,4076,878,0
205,160000,2,3,1,22,-1,5,5,-1,4,0,39899,38962,43539,45658,48752,54070,39899,1110,962,45658,1032,10994,0
206,220000,1,1,2,21,8,0,0,-1,2,3,108190,105532,110549,106527,106161,115288,2272,13457,15810,106527,4053,3992,1
207,270000,1,2,1,42,0,-1,-1,8,0,0,151755,141279,142122,141484,161878,166401,40711,141279,142122,3441,42933,49916,0
208,150000,2,3,1,41,-1,0,0,-1,-1,3,69342,54886,62726,67727,60245,56476,69342,15163,12936,67727,60245,264,0
209,60000,1,1,2,25,0,0,-1,0,1,0,17042,16737,15610,15063,15219,15271,2768,3056,15610,4304,595,2535,0
210,360000,1,2,1,38,-1,3,5,0,2,0,93637,88000,79821,74623,78670,86346,93637,4396,613,5521,1473,11050,0
211,300000,2,3,1,23,-1,2,1,2,1,3,155814,144203,148877,140431,141750,148670,155814,188,407,4791,503,5943,0
212,260000,2,1,1,34,2,0,2,0,1,0,51765,50002,49079,51122,49745,49351,1133,8032,1555,5331,317,11009,0
213,340000,2,2,1,38,-1,0,0,0,2,-1,41007,44095,45193,47394,51861,53123,41007,7011,6427,8985,1889,53123,0
214,230000,1,2,1,41,2,-1,1,2,0,0,60495,69812,59980,58772,59673,55379,1217,69812,2593,2087,15916,15957,0
215,140000,2,2,2,39,-2,-1,1,0,-2,5,16149,16364,15029,12167,12397,12324,1019,16364,76,1312,314,583,0
216,60000,1,1,1,21,1,-1,-1,0,-1,5,20132,22110,23256,21798,18886,17184,378,22110,23256,2161,18886,28,0
217,80000,1,1,2,38,2,6,0,0,-1,0,16719,18206,17202,19863,17701,18509,487,357,1598,4383,17701,1325,1
